transmission:T: -Re(T) vs lambda

lambda(nm), -Re(T)
1344.56, 0.261579
1345.56, 0.262959
1346.56, 0.264369
1347.57, 0.265806
1348.57, 0.267259
1349.57, 0.268713
1350.57, 0.270151
1351.57, 0.271561
1352.57, 0.272938
1353.57, 0.274284
1354.57, 0.275607
1355.57, 0.276921
1356.57, 0.278242
1357.57, 0.279582
1358.57, 0.280948
1359.57, 0.282341
1360.57, 0.283753
1361.57, 0.28517
1362.58, 0.286578
1363.58, 0.287962
1364.58, 0.289313
1365.58, 0.29063
1366.58, 0.291917
1367.58, 0.293187
1368.58, 0.294452
1369.58, 0.295729
1370.58, 0.297026
1371.58, 0.29835
1372.58, 0.299695
1373.58, 0.301055
1374.58, 0.302414
1375.58, 0.303759
1376.58, 0.305077
1377.59, 0.306361
1378.59, 0.307611
1379.59, 0.308833
1380.59, 0.31004
1381.59, 0.311245
1382.59, 0.312462
1383.59, 0.3137
1384.59, 0.314962
1385.59, 0.316246
1386.59, 0.317541
1387.59, 0.318836
1388.59, 0.320115
1389.59, 0.321367
1390.59, 0.322585
1391.59, 0.32377
1392.6, 0.324928
1393.6, 0.326069
1394.6, 0.327208
1395.6, 0.328357
1396.6, 0.329526
1397.6, 0.330718
1398.6, 0.331933
1399.6, 0.33316
1400.6, 0.334389
1401.6, 0.335605
1402.6, 0.336797
1403.6, 0.337958
1404.6, 0.339085
1405.6, 0.340183
1406.6, 0.341262
1407.61, 0.342334
1408.61, 0.343412
1409.61, 0.344507
1410.61, 0.345625
1411.61, 0.346766
1412.61, 0.347923
1413.61, 0.349087
1414.61, 0.350245
1415.61, 0.351385
1416.61, 0.352496
1417.61, 0.353575
1418.61, 0.354623
1419.61, 0.355647
1420.61, 0.356658
1421.61, 0.357667
1422.62, 0.358688
1423.62, 0.359728
1424.62, 0.360791
1425.62, 0.361876
1426.62, 0.362974
1427.62, 0.364075
1428.62, 0.365166
1429.62, 0.366237
1430.62, 0.367279
1431.62, 0.36829
1432.62, 0.369272
1433.62, 0.370232
1434.62, 0.371181
1435.62, 0.372132
1436.62, 0.373095
1437.63, 0.374078
1438.63, 0.375084
1439.63, 0.376111
1440.63, 0.37715
1441.63, 0.378192
1442.63, 0.379225
1443.63, 0.380238
1444.63, 0.381223
1445.63, 0.382178
1446.63, 0.383105
1447.63, 0.38401
1448.63, 0.384904
1449.63, 0.385798
1450.63, 0.386703
1451.63, 0.387627
1452.64, 0.388574
1453.64, 0.389541
1454.64, 0.390524
1455.64, 0.391511
1456.64, 0.392493
1457.64, 0.393458
1458.64, 0.394399
1459.64, 0.39531
1460.64, 0.396193
1461.64, 0.397052
1462.64, 0.397897
1463.64, 0.398737
1464.64, 0.399585
1465.64, 0.400449
1466.64, 0.401334
1467.65, 0.40224
1468.65, 0.403165
1469.65, 0.4041
1470.65, 0.405036
1471.65, 0.405961
1472.65, 0.406866
1473.65, 0.407745
1474.65, 0.408596
1475.65, 0.40942
1476.65, 0.410224
1477.65, 0.411018
1478.65, 0.411812
1479.65, 0.412616
1480.65, 0.413437
1481.65, 0.41428
1482.66, 0.415144
1483.66, 0.416024
1484.66, 0.416913
1485.66, 0.4178
1486.66, 0.418676
1487.66, 0.419531
1488.66, 0.420361
1489.66, 0.421163
1490.66, 0.421941
1491.66, 0.422699
1492.66, 0.423449
1493.66, 0.424198
1494.66, 0.424957
1495.66, 0.425734
1496.66, 0.426532
1497.67, 0.42735
1498.67, 0.428185
1499.67, 0.429029
1500.67, 0.429874
1501.67, 0.430708
1502.67, 0.431524
1503.67, 0.432316
1504.67, 0.433082
1505.67, 0.433823
1506.67, 0.434544
1507.67, 0.435253
1508.67, 0.43596
1509.67, 0.436675
1510.67, 0.437404
1511.67, 0.438153
1512.68, 0.438924
1513.68, 0.439712
1514.68, 0.440513
1515.68, 0.441318
1516.68, 0.442118
1517.68, 0.442903
1518.68, 0.443668
1519.68, 0.444408
1520.68, 0.445123
1521.68, 0.445815
1522.68, 0.446492
1523.68, 0.447161
1524.68, 0.447832
1525.68, 0.448514
1526.68, 0.449212
1527.69, 0.44993
1528.69, 0.450668
1529.69, 0.451424
1530.69, 0.452189
1531.69, 0.452956
1532.69, 0.453716
1533.69, 0.454461
1534.69, 0.455185
1535.69, 0.455884
1536.69, 0.45656
1537.69, 0.457214
1538.69, 0.457855
1539.69, 0.458489
1540.69, 0.459125
1541.69, 0.459772
1542.7, 0.460436
1543.7, 0.46112
1544.7, 0.461823
1545.7, 0.462543
1546.7, 0.463273
1547.7, 0.464006
1548.7, 0.464733
1549.7, 0.465446
1550.7, 0.466139
1551.7, 0.466809
1552.7, 0.467456
1553.7, 0.468081
1554.7, 0.468692
1555.7, 0.469294
1556.7, 0.469897
1557.71, 0.470509
1558.71, 0.471135
1559.71, 0.471779
1560.71, 0.472444
1561.71, 0.473126
1562.71, 0.473821
1563.71, 0.474521
1564.71, 0.47522
1565.71, 0.475909
1566.71, 0.476581
1567.71, 0.477232
1568.71, 0.47786
1569.71, 0.478466
1570.71, 0.479054
1571.71, 0.47963
1572.72, 0.480202
1573.72, 0.480778
1574.72, 0.481364
1575.72, 0.481966
1576.72, 0.482587
1577.72, 0.483227
1578.72, 0.483884
1579.72, 0.484551
1580.72, 0.485222
1581.72, 0.48589
1582.72, 0.486547
1583.72, 0.487187
1584.72, 0.487806
1585.72, 0.488403
1586.72, 0.488978
1587.73, 0.489537
1588.73, 0.490085
1589.73, 0.49063
1590.73, 0.491178
1591.73, 0.491737
1592.73, 0.492311
1593.73, 0.492904
1594.73, 0.493515
1595.73, 0.494142
1596.73, 0.494781
1597.73, 0.495425
1598.73, 0.496066
1599.73, 0.496698
1600.73, 0.497314
1601.73, 0.497911
1602.74, 0.498487
1603.74, 0.499041
1604.74, 0.499579
1605.74, 0.500103
1606.74, 0.500622
1607.74, 0.501143
1608.74, 0.501671
1609.74, 0.502213
1610.74, 0.502772
1611.74, 0.50335
1612.74, 0.503944
1613.74, 0.504553
1614.74, 0.505169
1615.74, 0.505786
1616.74, 0.506398
1617.75, 0.506999
1618.75, 0.507582
1619.75, 0.508145
1620.75, 0.508688
1621.75, 0.509212
1622.75, 0.509719
1623.75, 0.510217
1624.75, 0.510712
1625.75, 0.51121
1626.75, 0.511717
1627.75, 0.512238
1628.75, 0.512777
1629.75, 0.513333
1630.75, 0.513906
1631.75, 0.514491
1632.76, 0.515083
1633.76, 0.515676
1634.76, 0.516263
1635.76, 0.516839
1636.76, 0.517398
1637.76, 0.517938
1638.76, 0.518457
1639.76, 0.518958
1640.76, 0.519444
1641.76, 0.519919
1642.76, 0.520391
1643.76, 0.520866
1644.76, 0.521348
1645.76, 0.521844
1646.76, 0.522356
1647.77, 0.522886
1648.77, 0.523432
1649.77, 0.523991
1650.77, 0.524559
1651.77, 0.525129
1652.77, 0.525696
1653.77, 0.526253
1654.77, 0.526796
1655.77, 0.527321
1656.77, 0.527826
1657.77, 0.528313
1658.77, 0.528783
1659.77, 0.529241
1660.77, 0.529693
1661.77, 0.530143
1662.78, 0.530599
1663.78, 0.531066
1664.78, 0.531546
1665.78, 0.532044
1666.78, 0.532557
1667.78, 0.533086
1668.78, 0.533627
1669.78, 0.534174
1670.78, 0.534722
1671.78, 0.535265
1672.78, 0.535798
1673.78, 0.536316
1674.78, 0.536816
1675.78, 0.537297
1676.78, 0.53776
1677.79, 0.538208
1678.79, 0.538645
1679.79, 0.539076
1680.79, 0.539506
1681.79, 0.539942
1682.79, 0.540388
1683.79, 0.540848
1684.79, 0.541324
1685.79, 0.541817
1686.79, 0.542324
1687.79, 0.542842
1688.79, 0.543368
1689.79, 0.543896
1690.79, 0.544419
1691.79, 0.544934
1692.8, 0.545435
1693.8, 0.545919
1694.8, 0.546386
1695.8, 0.546834
1696.8, 0.547267
1697.8, 0.547687
1698.8, 0.5481
1699.8, 0.548511
1700.8, 0.548925
1701.8, 0.549347
1702.8, 0.549781
1703.8, 0.55023
1704.8, 0.550695
1705.8, 0.551175
1706.8, 0.551669
1707.81, 0.552171
1708.81, 0.552679
1709.81, 0.553186
1710.81, 0.553687
1711.81, 0.554178
1712.81, 0.554655
1713.81, 0.555115
1714.81, 0.555557
1715.81, 0.555983
1716.81, 0.556394
1717.81, 0.556794
1718.81, 0.557188
1719.81, 0.557581
1720.81, 0.557978
1721.81, 0.558383
1722.82, 0.5588
1723.82, 0.559232
1724.82, 0.559679
1725.82, 0.560142
1726.82, 0.560617
1727.82, 0.561101
1728.82, 0.56159
1729.82, 0.562078
1730.82, 0.562562
1731.82, 0.563036
1732.82, 0.563496
1733.82, 0.563941
1734.82, 0.564369
1735.82, 0.56478
1736.82, 0.565177
1737.83, 0.565562
1738.83, 0.56594
1739.83, 0.566315
1740.83, 0.566693
1741.83, 0.567078
1742.83, 0.567474
1743.83, 0.567882
1744.83, 0.568306
1745.83, 0.568745
1746.83, 0.569197
1747.83, 0.56966
1748.83, 0.570129
1749.83, 0.570601
1750.83, 0.57107
1751.83, 0.571533
1752.84, 0.571985
1753.84, 0.572422
1754.84, 0.572844
1755.84, 0.573249
1756.84, 0.573639
1757.84, 0.574016
1758.84, 0.574383
1759.84, 0.574743
1760.84, 0.575103
1761.84, 0.575466
1762.84, 0.575836
1763.84, 0.576217
1764.84, 0.576611
1765.84, 0.57702
1766.84, 0.577444
1767.85, 0.57788
1768.85, 0.578326
1769.85, 0.578779
1770.85, 0.579234
1771.85, 0.579687
1772.85, 0.580134
1773.85, 0.58057
1774.85, 0.580993
1775.85, 0.581401
1776.85, 0.581793
1777.85, 0.58217
1778.85, 0.582533
1779.85, 0.582886
1780.85, 0.583233
1781.85, 0.583577
1782.86, 0.583923
1783.86, 0.584275
1784.86, 0.584637
1785.86, 0.58501
1786.86, 0.585398
1787.86, 0.5858
1788.86, 0.586214
1789.86, 0.58664
1790.86, 0.587075
1791.86, 0.587513
1792.86, 0.587952
1793.86, 0.588387
1794.86, 0.588814
1795.86, 0.58923
1796.86, 0.589632
1797.87, 0.590019
1798.87, 0.590391
1799.87, 0.590749
1800.87, 0.591095
1801.87, 0.591431
1802.87, 0.591762
